Id,Label,timeset
Above Rocks,Above Rocks,
Annotto Bay,Annotto Bay,
Bog Walk,Bog Walk,
Constant Spring,Constant Spring,
Ewarton,Ewarton,
Gordon Town,Gordon Town,
Albert Town,Albert Town,
Alexandria,Alexandria,
Balaclava,Balaclava,
Brown's Town,Brown's Town,
Cave Valley,Cave Valley,
Christiana,Christiana,
Bamboo,Bamboo,
Alligator Pond,Alligator Pond,
Bull Savanna,Bull Savanna,
Malvern,Malvern,
Mandeville,Mandeville,
Nain,Nain,
Porus,Porus,
Anchovy,Anchovy,
Bethel Town,Bethel Town,
Cambridge,Cambridge,
Cascade,Cascade,
Darliston,Darliston,
Maroon Town,Maroon Town,
Buff Bay,Buff Bay,
Guy's Hill,Guy's Hill,
Coleyville,Coleyville,
Lacovia,Lacovia,
Claremont,Claremont,
Bath,Bath,
Dalvey,Dalvey,
Golden Grove,Golden Grove,
Manchioneal,Manchioneal,
Moore Town,Moore Town,
Morant Bay,Morant Bay,
Bluefields,Bluefields,
Black River,Black River,
Brompton,Brompton,
Maggotty,Maggotty,
Croft's Hill,Croft's Hill,
Highgate,Highgate,
Chapelton,Chapelton,
Frankfield,Frankfield,
Hayes,Hayes,
Clark's Town,Clark's Town,
Discovery Bay (Dry Harbour),Discovery Bay (Dry Harbour),
Duncans,Duncans,
Easington,Easington,
Kingston,Kingston,
Mavis Bank,Mavis Bank,
Falmouth,Falmouth,
Rio Bueno,Rio Bueno,
Frome,Frome,
Grange Hill,Grange Hill,
Gayle,Gayle,
Islington,Islington,
Hopewell,Hopewell,
Little London,Little London,
Lionel Town,Lionel Town,
May Pen,May Pen,
Old Harbour,Old Harbour,
Hope Bay,Hope Bay,
Lucea,Lucea,
Kellits,Kellits,
Linstead,Linstead,
Old Harbour Bay,Old Harbour Bay,
Lluidas Vale,Lluidas Vale,
Lucky Hill,Lucky Hill,
Moneague,Moneague,
Montego Bay,Montego Bay,
Negril,Negril,
Ocho Rios,Ocho Rios,
Oracabessa,Oracabessa,
Osbourne Store,Osbourne Store,
Petersfield,Petersfield,
Point Hill,Point Hill,
Port Antonio,Port Antonio,
Snow Hill,Snow Hill,
Port Maria,Port Maria,
Port Royal,Port Royal,
Portmore,Portmore,
Race Course,Race Course,
Richmond,Richmond,
Riversdale,Riversdale,
Rocky Point,Rocky Point,
Runaway Bay,Runaway Bay,
Saint Ann's Bay,Saint Ann's Bay,
Sandy Bay,Sandy Bay,
Sanguinetti,Sanguinetti,
Santa Cruz,Santa Cruz,
Savanna-la-Mar,Savanna-la-Mar,
Seaford Town,Seaford Town,
Seaforth,Seaforth,
Siloah,Siloah,
Southfield,Southfield,
Spanish Town,Spanish Town,
Stony Hill,Stony Hill,
Trinity Ville,Trinity Ville,
Ulster Spring,Ulster Spring,
Wakefield,Wakefield,
White House,White House,
Williamsfield,Williamsfield,
Yallahs,Yallahs,
Grantham,Grantham,
Mineral Heights,Mineral Heights,
May Pen Proper,May Pen Proper,
Longwood,Longwood,
Copse,Copse,
Logwood,Logwood,
Cacoon,Cacoon,
Orange Bay,Orange Bay,
Ramble,Ramble,
Kingsvale,Kingsvale,
Dias,Dias,
Jericho,Jericho,
Rock Spring,Rock Spring,
Lucea West,Lucea West,
Askenish,Askenish,
Lucea East,Lucea East,
Lances Bay,Lances Bay,
Great Valley,Great Valley,
Cousins Cove,Cousins Cove,
Success,Success,
Santoy,Santoy,
Cauldwell,Cauldwell,
Mount Peto,Mount Peto,
Maryland,Maryland,
Cacoon Castle,Cacoon Castle,
Chester Castle,Chester Castle,
Haddington,Haddington,
Pondside,Pondside,
March Town,March Town,
East Down Town,East Down Town,
Denham Town,Denham Town,
Central Down Town,Central Down Town,
Passmore Town,Passmore Town,
Rollington Town,Rollington Town,
D'Aguilar Town/ Rennock Lodge,D'Aguilar Town/ Rennock Lodge,
West Down Town,West Down Town,
Tivoli Gardens,Tivoli Gardens,
Newton Square,Newton Square,
Kingston Gardens,Kingston Gardens,
Bournemouth Gardens,Bournemouth Gardens,
Rae Town,Rae Town,
Allman Town,Allman Town,
Manley Meadows,Manley Meadows,
Franklyn Town,Franklyn Town,
Norman Gardens,Norman Gardens,
Fletchers Land,Fletchers Land,
Hatfield,Hatfield,
Mandeville Proper,Mandeville Proper,
Newport,Newport,
Knockpatrick,Knockpatrick,
New Green,New Green,
Royal Flat,Royal Flat,
Part of Spaldings,Part of Spaldings,
Central Port Antonio,Central Port Antonio,
Windsor Forest,Windsor Forest,
Norwich,Norwich,
Mona Heights,Mona Heights,
Seaward Pen,Seaward Pen,
Bull Bay/ Seven Mile,Bull Bay/ Seven Mile,
Delacree Park/ Union Gardens,Delacree Park/ Union Gardens,
University,University,
Harbour View,Harbour View,
Red Hills (Rural),Red Hills (Rural),
Norbrook,Norbrook,
Lawrence Tavern,Lawrence Tavern,
Delacree Pen,Delacree Pen,
Greenwich Town/ Newport West,Greenwich Town/ Newport West,
Tower Hill,Tower Hill,
Trench Town,Trench Town,
Waterhouse,Waterhouse,
Grants Pen,Grants Pen,
Whitehall,Whitehall,
Havendale,Havendale,
Barbican,Barbican,
Cavaliers,Cavaliers,
Roehampton,Roehampton,
Cross Roads,Cross Roads,
Pembroke Hall,Pembroke Hall,
Kencot,Kencot,
Vineyard Town,Vineyard Town,
Hope Tavern,Hope Tavern,
Drewsland,Drewsland,
Beverley Hills,Beverley Hills,
Patrick City,Patrick City,
Liguanea,Liguanea,
Hermitage,Hermitage,
Kintyre,Kintyre,
Cassia Park,Cassia Park,
Three Oaks/ Glendale,Three Oaks/ Glendale,
Whitfield Town,Whitfield Town,
Cherry Gardens,Cherry Gardens,
Half-Way-Tree,Half-Way-Tree,
Boucher Park,Boucher Park,
Molynes Four Roads,Molynes Four Roads,
Hope Pastures/ UTECH,Hope Pastures/ UTECH,
Eastwood Park Gardens,Eastwood Park Gardens,
August Town,August Town,
Golden Spring,Golden Spring,
Cockburn Gardens,Cockburn Gardens,
Molynes Gardens,Molynes Gardens,
Duhaney Park,Duhaney Park,
Oaklands,Oaklands,
Hughenden,Hughenden,
Marverley,Marverley,
Richmond Park,Richmond Park,
Forest Hills/ Plantation Height,Forest Hills/ Plantation Height,
Jones Town,Jones Town,
Arlene Gardens,Arlene Gardens,
Queensborough/ Tunbridge,Queensborough/ Tunbridge,
Mountain View Gardens,Mountain View Gardens,
Zaidie Gardens,Zaidie Gardens,
Trafalgar Park,Trafalgar Park,
Washington Gardens,Washington Gardens,
Drumblair,Drumblair,
Waltham Gardens,Waltham Gardens,
Woodford Park,Woodford Park,
Papine,Papine,
Bloxborough,Bloxborough,
Parry Town,Parry Town,
Discovery Bay,Discovery Bay,
Browns Town,Browns Town,
Macknie,Macknie,
Hinds Town,Hinds Town,
Exchange,Exchange,
Steer Town,Steer Town,
St. Ann's Bay,St. Ann's Bay,
Priory,Priory,
Philadelphia,Philadelphia,
York Castle,York Castle,
Lime Hall,Lime Hall,
Cole Gate,Cole Gate,
Braeton,Braeton,
Spanish Town Central,Spanish Town Central,
Cromarty,Cromarty,
Hellshire,Hellshire,
Greater Portmore,Greater Portmore,
Bogwalk,Bogwalk,
Hampton Green,Hampton Green,
Sligoville,Sligoville,
Greendale,Greendale,
Ensom,Ensom,
Naggo Head,Naggo Head,
Willowdene,Willowdene,
Golden Acres,Golden Acres,
Bridgeport,Bridgeport,
Gregory Park,Gregory Park,
Old Harbour Road,Old Harbour Road,
Central Village,Central Village,
Kitson Town,Kitson Town,
Waterford,Waterford,
Keystone,Keystone,
St. John's East,St. John's East,
Troja,Troja,
Crescent,Crescent,
St. John's West,St. John's West,
Cumberland,Cumberland,
Passage Fort,Passage Fort,
Edgewater,Edgewater,
Independence City,Independence City,
Glengoffe,Glengoffe,
Treasure Beach,Treasure Beach,
Bigwoods,Bigwoods,
Thornton,Thornton,
Slipe,Slipe,
Rose Hall,Rose Hall,
Junction,Junction,
Pisgah,Pisgah,
Braes River,Braes River,
Goshen,Goshen,
Ballards  Valley,Ballards  Valley,
Pedro Plains,Pedro Plains,
Watchwell,Watchwell,
Leeds,Leeds,
Giddy Hall,Giddy Hall,
Pepper,Pepper,
Middle Quarters,Middle Quarters,
Top Hill,Top Hill,
Lititz,Lititz,
Bull Savannah,Bull Savannah,
Aberdeen,Aberdeen,
Red Bank,Red Bank,
Holland,Holland,
Brighton,Brighton,
Hopeton,Hopeton,
Newton,Newton,
West Green,West Green,
Catherine Hall,Catherine Hall,
Rose Heights,Rose Heights,
Down Town Montego Bay,Down Town Montego Bay,
Brandon Hill,Brandon Hill,
Orange,Orange,
Granville,Granville,
Bogue,Bogue,
Pitfour,Pitfour,
Norwood,Norwood,
Mount Salem,Mount Salem,
Albion,Albion,
Flankers,Flankers,
Unity Hall,Unity Hall,
Dumfries,Dumfries,
John's Hall,John's Hall,
Catadupa,Catadupa,
Somerton,Somerton,
Rose Mount Garden,Rose Mount Garden,
Barrett Town,Barrett Town,
Paradise,Paradise,
Lilliput,Lilliput,
Green Pond,Green Pond,
Glendevon,Glendevon,
Welcome Hall,Welcome Hall,
Farm Heights,Farm Heights,
Maldon,Maldon,
Retirement,Retirement,
Porto Bello,Porto Bello,
Tangle River,Tangle River,
Flower Hill,Flower Hill,
Salt Spring,Salt Spring,
Rosemount,Rosemount,
Niagara,Niagara,
Coral Gardens,Coral Gardens,
Tucker,Tucker,
Ironshore,Ironshore,
Adelphi,Adelphi,
Montpelier,Montpelier,
Summer Hill,Summer Hill,
Mount Carey,Mount Carey,
Reading,Reading,
Irwin,Irwin,
Spot Valley,Spot Valley,
Catherine Mount,Catherine Mount,
Friendship,Friendship,
Montego Hill,Montego Hill,
Flamstead,Flamstead,
Tower Hill/Moy Hall,Tower Hill/Moy Hall,
Castleton,Castleton,
Galina,Galina,
Enfield,Enfield,
Guys Hill,Guys Hill,
Martin,Martin,
Epson,Epson,
Baileys Vale,Baileys Vale,
Clonmel,Clonmel,
Font Hill,Font Hill,
Duckenfield,Duckenfield,
Church Corner,Church Corner,
Port Morant,Port Morant,
White Horses,White Horses,
Retreat,Retreat,
Wilmington,Wilmington,
Barking Lodge,Barking Lodge,
Amity Hall,Amity Hall,
Salt Marsh,Salt Marsh,
Bounty Hall,Bounty Hall,
Clarks Town,Clarks Town,
Deeside,Deeside,
Bunkers Hill,Bunkers Hill,
Alps,Alps,
Duanvale,Duanvale,
Kinloss,Kinloss,
Martha Brae,Martha Brae,
Sherwood Content,Sherwood Content,
Samuels Prospect,Samuels Prospect,
Daniel Town,Daniel Town,
Jackson Town,Jackson Town,
Spicy Hill,Spicy Hill,
Hampden,Hampden,
Orange Hill,Orange Hill,
Jerusalem,Jerusalem,
Burnt Savannah,Burnt Savannah,
Haddo,Haddo,
Savannah-la-mar Business Dist.,Savannah-la-mar Business Dist.,
Smithfield,Smithfield,
Georges Plain,Georges Plain,
Fort Williams,Fort Williams,
Paul Island,Paul Island,
Town Head,Town Head,
Hertford,Hertford,
Shefield,Shefield,
Truro,Truro,
Strathbogie,Strathbogie,
Llandilo,Llandilo,
Cave,Cave,
Mount Airy,Mount Airy,
Delveland,Delveland,
Mackfield,Mackfield,
Gooden's River,Gooden's River,
Chantilly,Chantilly,
Whithorn,Whithorn,
Broughton,Broughton,
Whitehouse,Whitehouse,
Mount Stewart,Mount Stewart,
Seaton Crescent,Seaton Crescent,
Three Mile River,Three Mile River,
Cornwall Mountian,Cornwall Mountian,
Fullersfield,Fullersfield,
